sentence_text,word_original_value,word_root,word_original_value_translation,word_syntactic_category,word_aspect,word_conjugation,word_object,word_declension_case,word_verb_causing_declension,sentence_remarks
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",boki,bok,sides,Noun,,,,nominative,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",pola,pole,field,Noun,,,,genitive,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",powinny,powinien,should,Verb,imperfective,3rd person plural,none,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",być,być,to be,Verb,imperfective,infinitive,none,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",wyznaczane,wyznaczać,designated,Verb,imperfective,passive participle,none,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",wzdłuż,wzdłuż,along,Preposition,,,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",warstwic,warstwica,contour lines,Noun,,,,genitive,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",prostopadle,prostopadły,perpendicular,Adverb,,,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",do,do,to,Preposition,,,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",spadku,spadek,slope,Noun,,,,genitive,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",terenu,teren,terrain,Noun,,,,genitive,none,
