sentence_text,word_original_value,word_root,word_original_value_translation,word_syntactic_category,word_aspect,word_conjugation,word_object,word_declension_case,word_verb_causing_declension,sentence_remarks
Dzieci bawiły się na podwórku.,podwórku,podwórko,yard,Noun,,,,Locative,,
"Kocie, chodź tutaj!",Kocie,kot,Cat,Noun,,,,vocative,,The sentence is correct and uses the vocative case for addressing the cat.
"Kocie, chodź tutaj!",chodź,chodzić,come,Verb,imperfective,2nd person singular,,,,The sentence is correct and uses the vocative case for addressing the cat.
"Kocie, chodź tutaj!",tutaj,tutaj,here,Adverb,,,,,,The sentence is correct and uses the vocative case for addressing the cat.
Marku!,Marku,Mark,Mark,Noun,,,,Vocative,,"The word 'Marku' is in the vocative case, which is used for addressing someone directly."
Nie mogę znaleźć mojego telefonu.,Nie,nie,not,Adverb,,,,,,
Nie mogę znaleźć mojego telefonu.,mogę,móc,can,Verb,imperfective,1st person singular,,,,
Nie mogę znaleźć mojego telefonu.,znaleźć,znaleźć,to find,Verb,,,,,,
Nie mogę znaleźć mojego telefonu.,mojego,mój,my,Adjective,,,,genitive,znaleźć,
Nie mogę znaleźć mojego telefonu.,telefonu,telefon,phone,Noun,,,,genitive,znaleźć,
Lubię kawę z cukrem.,Lubię,lubić,I like,Verb,imperfective,1st person singular,,,,
Lubię kawę z cukrem.,kawę,kawa,coffee,Noun,,,,accusative,lubić,
Lubię kawę z cukrem.,z,z,with,Preposition,,,,,,
Lubię kawę z cukrem.,cukrem,cukier,sugar,Noun,,,,instrumental,z,
Rozmawiamy o książce.,Rozmawiamy,rozmawiać,We are talking,Verb,imperfective,1st person plural,,,,
Rozmawiamy o książce.,o,o,about,Preposition,,,,,,
Rozmawiamy o książce.,książce,książka,book,Noun,,,,locative,rozmawiać,
Oddałam książkę Piotrkowi.,Oddałam,oddać,I returned,Verb,perfective,1st person singular,,,,
Oddałam książkę Piotrkowi.,książkę,książka,book,Noun,,,,accusative,Oddałam,
Oddałam książkę Piotrkowi.,Piotrkowi,Piotrek,to Piotr,Noun,,,,dative,Oddałam,
Ona bierze kota na ręce.,Ona,on,She,Pronoun,,,,,,
Ona bierze kota na ręce.,bierze,brać,is taking,Verb,imperfective,3rd person singular,kota,,,
Ona bierze kota na ręce.,kota,kot,the cat,Noun,,,,accusative,bierze,
Ona bierze kota na ręce.,na,na,in,Preposition,,,,,,
Ona bierze kota na ręce.,ręce,ręka,arms,Noun,,,,locative,na,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",W,w,In,Preposition,,,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",terenie,teren,terrain,Noun,,,,locative,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",górzystym,górzysty,hilly,Adjective,,,,locative,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",dla,dla,for,Preposition,,,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",zmniejszenia,zmniejszenie,reduction,Noun,,,,genitive,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",erozji,erozja,erosion,Noun,,,,genitive,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",długie,długi,long,Adjective,,,,nominative,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",boki,bok,sides,Noun,,,,nominative,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",pola,pole,field,Noun,,,,genitive,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",powinny,powinien,should,Verb,imperfective,3rd person plural,boki,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",być,być,to be,Verb,imperfective,infinitive,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",wyznaczane,wyznaczać,marked,Verb,imperfective,passive participle,boki,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",wzdłuż,wzdłuż,along,Preposition,,,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",warstwic,warstwica,contour lines,Noun,,,,genitive,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",prostopadle,prostopadły,perpendicular,Adverb,,,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",do,do,to,Preposition,,,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",spadku,spadek,slope,Noun,,,,genitive,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",terenu,teren,terrain,Noun,,,,genitive,none,
